exchangeId,name,rank,percentTotalVolume,volumeUsd,tradingPairs,socket,exchangeUrl,updated
paribu,Paribu,63,0.135508973560896501,145359046.1449726,207,False,https://paribu.com,1772467130471
hitbtc,Hitbtc,64,0.128562050019858903,137907154.56147176,182,False,https://hitbtc.com,1772467119192
mandala,Mandala,65,0.128340211157082246,137669190.35405633,148,False,https://www.mandala.exchange,1772467146325
fmfw,Fmfw,66,0.127518231868584769,136787461.8442228,147,False,https://fmfw.io,1772467145952
Raydium (Solana),Raydium (Solana),67,0.121797042307698611,130650402.16816185,59,False,https://raydium.io,1772466922511
gleec,Gleec,68,0.121146577326832469,129952655.24642816,87,False,https://exchange.gleec.com,1772467140904
changelly,Changelly,69,0.115840164836802206,124260522.55784324,64,False,https://pro.changelly.com,1772467139550
coinex,Coinex,70,0.092259085124295009,98965347.16092959,798,False,https://coinex.com,1772467139448
gemini,Gemini,71,0.091501522710934563,98152717.95337479,174,False,https://gemini.com,1772467146124
bitflyer,Bitflyer,72,0.081932799813055970,87888449.86314286,11,False,https://bitflyer.com,1772467136167
coincheck,Coincheck,73,0.080731385760690430,86599705.68563242,19,False,https://coincheck.com,1772467147649
THORChain,THORChain,74,0.079001724496318024,84744316.2974891,23,False,https://thorchain.org,1772467036388
btcturk,Btcturk,75,0.076812895121961822,82396382.12257978,309,False,https://www.btcturk.com,1772467124242
exmo,Exmo,76,0.073682689257913422,79038643.31990926,151,False,https://exmo.com,1772467145931
pointpay,Pointpay,77,0.069774161845136309,74846007.20420995,137,False,https://exchange.pointpay.io,1772467119643
Curve (ethereum),Curve (ethereum),78,0.069218695015814860,74250163.79728565,58,False,https://curve.finance,1772467035807
alp,Alp,79,0.064915436616509781,69634103.91725692,12,False,https://alp.com,1772467132395
blynex,Blynex,80,0.049698179061629849,53310712.29975872,178,False,https://blynex.com,1772467143808
coincola,Coincola,81,0.049630688450035314,53238315.83281393,28,False,https://www.coincola.com,1772467135799
bitkub,Bitkub,82,0.046169697496180787,49525747.35451614,169,False,https://www.bitkub.com,1772467133421
bitbank,Bitbank,83,0.045694803005254303,49016333.04484643,41,False,https://bitbank.cc,1772467139113
backpack,Backpack,84,0.040340297598815633,43272611.59227229,49,False,https://backpack.exchange,1772467141456
Uniswap V3 (BSC)_56,Uniswap V3 (BSC),85,0.031596065942848056,33892766.55779624,38,False,https://uniswap.org,1772466932827
Uniswap V3 (Arbitrum)_42161,Uniswap V3 (Arbitrum),86,0.027356704209054825,29345247.95667014,33,False,https://uniswap.org,1772467087965
bitstorage,Bitstorage,87,0.025112405697945199,26937812.624036077,69,False,https://bitstorage.finance,1772467147758
icrypex,Icrypex,88,0.020477046417593313,21965511.632999487,124,False,https://icrypex.com,1772467122249
binanceus,Binanceus,89,0.020138854960666655,21602737.22550871,216,False,https://binance.us,1772467132717
xbo,Xbo,90,0.015269123673470412,16379027.85565602,257,False,https://xbo.com,1772467125666
vindax,Vindax,91,0.014860434335942807,15940631.115487838,51,False,https://vindax.com,1772467141737
Pancakeswap V3 (Arbitrum)_42161,Pancakeswap V3 (Arbitrum),92,0.013366176400022424,14337756.393967398,11,False,https://uniswap.org,1772467070452
Pancakeswap V3 (Base)_8453,Pancakeswap V3 (Base),93,0.012302740082334758,13197019.476603515,13,False,https://uniswap.org,1772467027794
tokpie,Tokpie,94,0.011574464060457569,12415805.472183725,41,False,https://tokpie.io,1772467125236
Pancakeswap V2 (BSC)_56,Pancakeswap V2 (BSC),95,0.008771436053123177,9409026.904263511,39,False,https://uniswap.org,1772467146345
Uniswap V2_1,Uniswap V2,96,0.008432547819469609,9045505.071729667,41,False,https://uniswap.org,1772467123393
Aerodrome (Base)_8453,Aerodrome (Base),97,0.006207467208374296,6658684.577667419,19,False,https://uniswap.org,1772466978137
Pancakeswap V3 (Ethereum)_1,Pancakeswap V3 (Ethereum),98,0.005806112643230899,6228155.770444501,8,False,https://uniswap.org,1772466695175
onus,Onus,99,0.003874147710466469,4155757.3717807275,19,False,https://onus.com,1772467144334
Uniswap V3 (Base)_8453,Uniswap V3 (Base),100,0.003349809094651059,3593304.8710417133,36,False,https://uniswap.org,1772467030053
